Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
Prairies,ALL,F,55-59,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,60-64,Tx,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,60-64,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,60-64,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,65+,Tx,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,65+,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,ALL,Tx,21,16,14,11,10,9,8,8,7,6,3,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,
Prairies,ALL,F,ALL,events,,3,2,2,,,1,,1,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Prairies,ALL,F,ALL,censored,,2,,1,1,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Prairies,ALL,M,35-39,Tx,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,35-39,events,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,35-39,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,40-44,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,40-44,events,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,45-49,Tx,2,2,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,45-49,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,45-49,censored,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,50-54,Tx,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,50-54,events,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,50-54,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,55-59,Tx,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,0,0,,,,,,
Prairies,ALL,M,55-59,events,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,55-59,censored,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,,1,,1,,,,,,,
Prairies,ALL,M,60-64,Tx,3,3,3,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,60-64,events,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,60-64,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,65+,Tx,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,65+,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,65+,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,ALL,Tx,19,17,17,15,15,15,14,14,13,10,7,7,7,6,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,0,0,,,,,,
Prairies,ALL,M,ALL,events,,,,2,,,,,1,2,2,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,ALL,M,ALL,censored,,2,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,1,,,1,,1,,,,,,,
Prairies,No,ALL,30-34,Tx,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,30-34,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,30-34,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,35-39,Tx,5,4,4,4,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,
Prairies,No,ALL,35-39,events,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,35-39,censored,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Prairies,No,ALL,40-44,Tx,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
Prairies,No,ALL,40-44,events,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,45-49,Tx,7,7,6,5,5,5,5,5,4,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,45-49,events,,,1,1,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,45-49,censored,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,50-54,Tx,4,3,3,3,3,2,2,2,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,50-54,events,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,50-54,censored,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,55-59,Tx,8,8,7,7,7,7,6,6,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,0,0,,,,,,
Prairies,No,ALL,55-59,events,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,55-59,censored,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,
Prairies,No,ALL,60-64,Tx,5,3,3,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,60-64,events,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,60-64,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,65+,Tx,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,65+,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,65+,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,ALL,Tx,34,28,26,23,22,21,20,20,18,14,9,8,8,7,6,6,6,5,5,5,5,4,3,3,3,3,3,2,2,2,1,1,0,0,,,,,,
Prairies,No,ALL,ALL,events,,2,2,3,,,,,2,3,5,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,
Prairies,No,ALL,ALL,censored,,4,,,1,1,1,,,1,,1,,,,,,,,,,,1,,,,,1,,,1,,1,,,,,,,
Prairies,No,F,30-34,Tx,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,30-34,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,30-34,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,35-39,Tx,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,
Prairies,No,F,35-39,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,35-39,censored,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Prairies,No,F,40-44,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
Prairies,No,F,40-44,events,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Prairies,No,F,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,45-49,Tx,6,6,5,4,4,4,4,4,3,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,45-49,events,,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,45-49,censored,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,50-54,Tx,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,50-54,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,50-54,censored,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,55-59,Tx,2,2,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,55-59,events,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,55-59,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,60-64,Tx,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,60-64,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,60-64,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,65+,Tx,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,65+,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,F,ALL,Tx,18,14,12,10,9,8,8,8,7,6,3,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,
Prairies,No,F,ALL,events,,2,2,2,,,,,1,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Prairies,No,F,ALL,censored,,2,,,1,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Prairies,No,M,35-39,Tx,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,35-39,events,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,35-39,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,40-44,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,40-44,events,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,45-49,Tx,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,45-49,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,45-49,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,50-54,Tx,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,50-54,events,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,50-54,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,55-59,Tx,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,0,0,,,,,,
Prairies,No,M,55-59,events,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,55-59,censored,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,
Prairies,No,M,60-64,Tx,3,3,3,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,60-64,events,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,60-64,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,65+,Tx,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,65+,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,65+,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,ALL,Tx,16,14,14,13,13,13,12,12,11,8,6,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,0,0,,,,,,
Prairies,No,M,ALL,events,,,,1,,,,,1,2,2,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,No,M,ALL,censored,,2,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,
Prairies,Null,ALL,45-49,Tx,4,3,3,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,45-49,events,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,45-49,censored,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,65+,Tx,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,65+,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,ALL,Tx,5,4,4,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,ALL,events,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,ALL,ALL,censored,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,F,45-49,Tx,3,2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,F,45-49,events,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,F,45-49,censored,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,F,ALL,Tx,3,2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,F,ALL,events,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,F,ALL,censored,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,45-49,Tx,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,45-49,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,45-49,censored,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,65+,Tx,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,65+,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,ALL,Tx,2,2,2,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,ALL,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Null,M,ALL,censored,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,ALL,55-59,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,ALL,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,ALL,55-59,censored,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,ALL,ALL,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,ALL,ALL,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,ALL,ALL,censored,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,M,55-59,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,M,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,M,55-59,censored,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,M,ALL,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,M,ALL,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairies,Yes,M,ALL,censored,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,18-19,Tx,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,18-19,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,20-24,Tx,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
QC,ALL,ALL,20-24,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
QC,ALL,ALL,25-29,Tx,4,3,3,3,3,3,3,3,3,3,3,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,25-29,events,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,25-29,censored,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,30-34,Tx,12,11,10,9,9,7,6,6,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,
QC,ALL,ALL,30-34,events,,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,30-34,censored,,,1,1,,2,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,
QC,ALL,ALL,35-39,Tx,17,14,12,10,9,9,9,9,9,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,2,1,1,1,1,1,1,0
QC,ALL,ALL,35-39,events,,2,2,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
QC,ALL,ALL,35-39,censored,,1,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,1
QC,ALL,ALL,40-44,Tx,34,29,26,24,22,20,17,16,15,13,13,11,10,8,7,7,7,6,6,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,
QC,ALL,ALL,40-44,events,,2,3,,,2,2,,,1,,1,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,
QC,ALL,ALL,40-44,censored,,3,,2,2,,1,1,1,1,,1,,1,1,,,1,,,1,,1,,,,,,,,,1,,,,,,1,,
QC,ALL,ALL,45-49,Tx,47,43,41,41,39,34,31,30,30,27,27,25,24,24,18,17,17,15,14,13,13,13,13,11,9,9,9,9,6,6,6,6,5,4,2,1,1,1,0,0
QC,ALL,ALL,45-49,events,,3,,,2,4,2,1,,2,,1,,,2,1,,2,,1,,,,1,,,,,1,,,,,,,,,,,
QC,ALL,ALL,45-49,censored,,1,2,,,1,1,,,1,,1,1,,4,,,,1,,,,,1,2,,,,2,,,,1,1,2,1,,,1,
QC,ALL,ALL,50-54,Tx,64,61,57,54,47,44,39,37,36,30,28,26,26,22,18,18,17,16,15,15,15,14,13,11,11,9,9,7,7,7,6,5,5,5,5,4,3,2,0,0
QC,ALL,ALL,50-54,events,,,1,1,2,3,2,,1,3,,1,,2,2,,,,,,,,,1,,,,,,,,,,,,,,,,
QC,ALL,ALL,50-54,censored,,3,3,2,5,,3,2,,3,2,1,,2,2,,1,1,1,,,1,1,1,,2,,2,,,1,1,,,,1,1,1,2,
QC,ALL,ALL,55-59,Tx,75,68,67,61,59,57,53,48,47,46,44,42,41,40,37,34,30,30,26,23,22,20,20,20,17,14,12,11,10,9,6,6,6,3,3,2,1,1,0,0
QC,ALL,ALL,55-59,events,,4,,2,1,1,,1,,1,2,2,1,1,1,3,1,,2,,,1,,,2,2,,,,1,,,,1,,,,,,
QC,ALL,ALL,55-59,censored,,3,1,4,1,1,4,4,1,,,,,,2,,3,,2,3,1,1,,,1,1,2,1,1,,3,,,2,,1,1,,1,
QC,ALL,ALL,60-64,Tx,64,54,48,46,41,40,38,34,29,27,26,21,20,18,15,14,13,12,12,9,8,7,7,7,7,6,6,6,6,6,5,5,3,2,2,1,0,0,,
QC,ALL,ALL,60-64,events,,4,1,2,3,,1,1,2,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,60-64,censored,,6,5,,2,1,1,3,3,2,1,1,,1,3,1,1,1,,3,1,1,,,,1,,,,,1,,2,1,,1,1,,,
QC,ALL,ALL,65+,Tx,20,17,15,14,13,11,10,10,9,9,8,7,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
QC,ALL,ALL,65+,events,,1,,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
QC,ALL,ALL,65+,censored,,2,2,,,1,1,,,,1,1,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
QC,ALL,ALL,ALL,Tx,340,302,281,264,244,227,208,195,184,168,161,147,137,125,107,102,96,90,84,76,71,67,65,61,55,49,46,41,37,35,30,27,23,17,15,11,7,5,1,0
QC,ALL,ALL,ALL,events,,19,7,8,9,11,8,3,5,8,3,9,3,6,5,4,1,3,2,2,1,1,,2,2,2,1,1,1,1,,,,1,,,,,,
QC,ALL,ALL,ALL,censored,,19,14,9,11,6,11,10,6,8,4,5,7,6,13,1,5,3,4,6,4,3,2,2,4,4,2,4,3,1,5,3,4,5,2,4,4,2,4,1
QC,ALL,F,18-19,Tx,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,18-19,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,20-24,Tx,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
QC,ALL,F,20-24,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
QC,ALL,F,25-29,Tx,3,2,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,25-29,events,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,25-29,censored,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,30-34,Tx,7,7,6,5,5,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,
QC,ALL,F,30-34,events,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,30-34,censored,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
QC,ALL,F,35-39,Tx,10,8,6,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,
QC,ALL,F,35-39,events,,2,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,35-39,censored,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,
QC,ALL,F,40-44,Tx,21,19,18,18,17,16,13,12,11,10,10,8,8,6,5,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,
QC,ALL,F,40-44,events,,,1,,,1,2,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,40-44,censored,,2,,,1,,1,1,1,1,,1,,1,1,,,1,,,,,1,,,,,,,,,1,,,,,,1,,
QC,ALL,F,45-49,Tx,32,29,28,28,27,25,23,23,23,20,20,18,17,17,13,12,12,11,10,9,9,9,9,9,7,7,7,7,4,4,4,4,3,3,1,1,1,1,0,0
QC,ALL,F,45-49,events,,2,,,1,1,2,,,2,,1,,,1,1,,1,,1,,,,,,,,,1,,,,,,,,,,,
QC,ALL,F,45-49,censored,,1,1,,,1,,,,1,,1,1,,3,,,,1,,,,,,2,,,,2,,,,1,,2,,,,1,
QC,ALL,F,50-54,Tx,35,34,32,29,23,22,19,19,19,15,13,12,12,10,7,7,6,5,5,5,5,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
QC,ALL,F,50-54,events,,,1,1,2,1,2,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
QC,ALL,F,50-54,censored,,1,1,2,4,,1,,,2,2,1,,2,2,,1,1,,,,1,,1,,2,,,,,,,,,,,,,1,
